title,location,description,price per year,number of bedrooms,number of bathrooms,number of toilets
1 BEDROOM MINI FLAT For Rent,65 Agungi Ajiran Road Agungi Lekki Lagos,Monthly Rental 1 Bedroom Flat,"400,000",1.0,1.0,2.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Right Lagos Lekki Phase 1 Lekki Lagos,2 Bedroom Apartment In Lekki Right,"5,000,000",2.0,2.0,3.0
4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Right Lekki Phase 1 Lekki Lagos,Newly Built 4 Bedrooms Terrace Duplex With Pool,"9,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Recently Renovated Premium 3 Bedroom Apartment Bq Pool Gym,"18,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Terrace House +2 Rooms Bq+tennis Etc,"22,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Victoria Island Adeola Odeku Victoria Island Lagos,Luxury 3 Bedroom Apartment+bq+pool,"15,000,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,Self Serviced 5 Bedroom Semi Detached House+ 2 Rooms Bq,"12,000,000",5.0,5.0,6.0
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Terrace House+green Area+pool+gym+bq,"25,000,000",4.0,3.0,4.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedrooms + Maid Room Serviced Apartments,"1,800,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Channels Tv Road Wisdom Estate Opic Lagos Extension Ogun,Newly Built 12 Flats Of 3bedrooms + Maid Room Serviced Apartments,"1,800,000",4.0,4.0,5.0
LAND For Sale,Cofo Land At Karshi Abuja Abuja Phase 1,"Queen's Park Estate, Karshi, Abuja","800,000",2.0,3.0,3.0
4 BEDROOM BLOCK OF FLATS FOR RENT,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun",Brand New 3 Bedroom Serviced Apartments With Maid's Room,"1,800,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS FOR RENT,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun","Beautifully Built Luxury 3 Bedroom Apartments With Maid's Room, Inverter & 275kva Generator","1,800,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS FOR RENT,"Opic, Channels Tv Road, Wisdom Estate. Ikeja Lagos","Spacious And Well Built 12 Units Of Serviced 3 Bedroom Flats With Maid's Room, Dedicated Transformer, Inverter & 275kva Generator In A Serene Estate","1,800,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedroom Apartments + Maid Room,"1,800,000",3.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Ikoyi Lagos,4bedroom Terrace Duplex With A Bq,"17,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Victoria Island Lagos,4bedroom Terrace Duplex With A Bq,"20,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,A Fully Service Estate In Osapa Lekki Lagos Ologolo Lekki Lagos,Brand New 4 Bedroom Duplex In A Fully Serviced Estate,"85,000,000",4.0,4.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Oniru, Victoria Island Oniru Victoria Island Lagos",Luxury 3 Bedroom Flat With Bq,"8,000,000",3.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,5 Bedroom Fully Detached Duplex With Swimming Pool For Rent,"10,000,000",5.0,,
